EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Total Training Cost,Seniority_Years,Normalized_Training_Cost,Gender_Male
3427,Uriah,Bridges,2019-09-20,Desconocido,Production Technician I,Peter Oneill,Uriah.Bridges@Bilearner.Com,Ccdr,Active,Contract,Zone C,Temporary,Unk,Nan,Production,Finance & Accounting,1969-10-07,Ma,Accounting,34904,White,Widowed,Fully Meets,4.0,14-01-2023,1,2,3,606.11,6.661190965092403,0.5623437378462769,False
3428,Paula,Small,2023-02-11,Desconocido,Production Technician I,Renee Mccormick,Paula.Small@Bilearner.Com,Ew,Active,Contract,Zone A,Part-Time,Unk,Nan,Production,Aerial,1965-08-30,Ma,Labor,6593,Hispanic,Widowed,Fully Meets,3.0,09-09-2022,2,1,5,673.02,3.266255989048597,0.6366939650861734,True
3429,Edward,Buck,2018-12-10,Desconocido,Area Sales Manager,Crystal Walker,Edward.Buck@Bilearner.Com,Pl,Active,Full-Time,Zone B,Part-Time,Unk,Nan,Sales,General - Sga,1991-10-06,Ma,Assistant,2330,Hispanic,Widowed,Fully Meets,4.0,27-05-2023,1,2,1,413.28,7.438740588637919,0.348071516673519,True
3430,Michael,Riordan,2021-06-21,Desconocido,Area Sales Manager,Rebekah Wright,Michael.Riordan@Bilearner.Com,Ccdr,Active,Contract,Zone A,Full-Time,Unk,Nan,Sales,Finance & Accounting,1998-04-04,Nd,Clerk,58782,Other,Single,Fully Meets,2.0,16-06-2023,5,5,4,663.78,4.908966461327857,0.6264264998388763,True
3431,Jasmine,Onque,2019-06-29,Desconocido,Area Sales Manager,Jason Kim,Jasmine.Onque@Bilearner.Com,Tns,Active,Contract,Zone A,Temporary,Unk,Nan,Sales,General - Con,1969-08-29,Fl,Laborer,33174,Other,Married,Fully Meets,3.0,25-11-2022,2,5,3,399.03,6.888432580424367,0.3322369517629148,False
3432,Maruk,Fraval,2020-01-17,Desconocido,Area Sales Manager,Sheri Campos,Maruk.Fraval@Bilearner.Com,Bpc,Active,Contract,Zone B,Full-Time,Unk,Nan,Sales,Field Operations,1949-04-03,Ct,Driver,6050,Black,Married,Fully Meets,3.0,12-12-2022,2,3,5,820.33,6.335386721423682,0.8003844743480049,True
3433,Latia,Costa,2022-04-06,2023-07-03 00:00:00,Area Sales Manager,Jacob Braun,Latia.Costa@Bilearner.Com,Wbl,Active,Full-Time,Zone B,Temporary,Involuntary,Me See Picture Nature Degree Benefit.,Sales,General - Eng,1942-07-01,Ca,Technician,90007,Hispanic,Divorced,Exceeds,4.0,25-03-2023,1,5,2,295.08,4.117727583846681,0.21672796773082345,False
3434,Sharlene,Terry,2020-11-06,2023-01-29 00:00:00,Area Sales Manager,Tracy Marquez,Sharlene.Terry@Bilearner.Com,Ccdr,Active,Contract,Zone C,Full-Time,Involuntary,Blue Community Type Skill Story.,Sales,Engineers,1957-03-07,Or,Engineer,97756,White,Divorced,Fully Meets,2.0,21-04-2023,1,4,2,790.15,5.530458590006845,0.7668485326636516,False
3435,Jac,Mckinzie,2018-08-18,Desconocido,Area Sales Manager,Sharon Becker,Jac.Mckinzie@Bilearner.Com,Nel,Active,Contract,Zone B,Part-Time,Unk,Nan,Sales,Executive,1974-05-15,Tx,Executive Assistant,78789,Black,Widowed,Exceeds,3.0,09-12-2022,4,3,3,798.4,7.750855578370979,0.7760159123487382,True
3436,Joseph,Martins,2022-01-21,2023-06-29 00:00:00,Area Sales Manager,George Jenkins,Joseph.Martins@Bilearner.Com,Bpc,Active,Part-Time,Zone B,Temporary,Resignation,Summer Personal Bag.,Sales,Engineers,1949-11-11,Tx,Engineer,78207,Asian,Widowed,Fully Meets,4.5,30-07-2023,5,5,2,192.61,4.323066392881588,0.10286355605435979,True
3437,Myriam,Givens,2023-08-04,Desconocido,Area Sales Manager,Troy White,Myriam.Givens@Bilearner.Com,Svg,Active,Contract,Zone B,Temporary,Unk,Nan,Sales,Field Operations,1964-01-26,In,Technician,46204,Other,Single,Fully Meets,4.5,15-10-2022,3,2,5,455.68,2.7898699520876113,0.3951862922671763,False
3438,Dheepa,Nguyen,2018-08-10,2019-11-04 00:00:00,Area Sales Manager,Brian Miller,Dheepa.Nguyen@Bilearner.Com,Msc,Active,Full-Time,Zone C,Temporary,Retirement,Alone Once Than. More Condition Pay Far.,Sales,General - Con,1948-04-06,Ga,Technician,30428,Asian,Married,Fully Meets,3.0,28-10-2022,4,2,5,208.17,7.772758384668036,0.1201537897392019,False
3439,Bartholemew,Khemmich,2022-05-25,2022-11-27 00:00:00,Area Sales Manager,Charles Parks,Bartholemew.Khemmich@Bilearner.Com,Ew,Active,Full-Time,Zone A,Temporary,Involuntary,Foot In Theory Minute Recognize Test.,Sales,Splicing,1981-11-24,Co,Splicer,80820,Other,Single,Fully Meets,3.0,30-10-2022,1,2,5,421.07,3.9835728952772076,0.3567277454913159,True
3440,Xana,Potts,2019-12-05,2023-02-17 00:00:00,Area Sales Manager,Gregory Walker,Xana.Potts@Bilearner.Com,Ccdr,Active,Contract,Zone A,Full-Time,Resignation,Degree Wish Science When Thing Week Old.,Sales,Finance & Accounting,1951-11-06,Ky,Controller,40220,White,Divorced,Fully Meets,3.0,24-09-2022,1,4,5,649.03,6.453114305270363,0.610036336159479,False
3441,Prater,Jeremy,2019-04-28,Desconocido,Area Sales Manager,Tyler Lewis,Prater.Jeremy@Bilearner.Com,Bpc,Active,Part-Time,Zone A,Part-Time,Unk,Nan,Sales,General - Con,1989-11-21,Nv,Lineman,89139,Asian,Widowed,Exceeds,4.0,30-10-2022,4,2,5,450.2,7.058179329226557,0.3890969297612036,True
